"filename", "language", "C#", "comment", "blank", "total"
"f:\unity\Minesweeper\Assets\Scripts\Config\CellConfigManager.cs", "C#", 40, 0, 10, 50
"f:\unity\Minesweeper\Assets\Scripts\Core\Effects\BaseEffect.cs", "C#", 84, 3, 12, 99
"f:\unity\Minesweeper\Assets\Scripts\Core\Effects\ConfusionEffect.cs", "C#", 68, 3, 9, 80
"f:\unity\Minesweeper\Assets\Scripts\Core\Effects\ConfusionEffectData.cs", "C#", 15, 0, 2, 17
"f:\unity\Minesweeper\Assets\Scripts\Core\Effects\EffectData.cs", "C#", 60, 0, 10, 70
"f:\unity\Minesweeper\Assets\Scripts\Core\Effects\FreezeEffect.cs", "C#", 87, 3, 10, 100
"f:\unity\Minesweeper\Assets\Scripts\Core\Effects\FreezeEffectData.cs", "C#", 15, 0, 2, 17
"f:\unity\Minesweeper\Assets\Scripts\Core\Effects\IEffect.cs", "C#", 33, 7, 6, 46
"f:\unity\Minesweeper\Assets\Scripts\Core\Effects\MonsterTransformEffect.cs", "C#", 114, 14, 23, 151
"f:\unity\Minesweeper\Assets\Scripts\Core\Effects\MonsterTransformEffectData.cs", "C#", 43, 0, 7, 50
"f:\unity\Minesweeper\Assets\Scripts\Core\Effects\RangeRevealEffect.cs", "C#", 95, 3, 12, 110
"f:\unity\Minesweeper\Assets\Scripts\Core\Effects\RangeRevealEffectData.cs", "C#", 32, 0, 5, 37
"f:\unity\Minesweeper\Assets\Scripts\Core\Effects\SplitEffect.cs", "C#", 111, 18, 25, 154
"f:\unity\Minesweeper\Assets\Scripts\Core\Effects\SplitEffectData.cs", "C#", 25, 6, 5, 36
"f:\unity\Minesweeper\Assets\Scripts\Core\Effects\SummonEffect.cs", "C#", 128, 7, 19, 154
"f:\unity\Minesweeper\Assets\Scripts\Core\Effects\SummonEffectData.cs", "C#", 74, 0, 13, 87
"f:\unity\Minesweeper\Assets\Scripts\Core\Effects\TargetedRevealEffect.cs", "C#", 60, 5, 8, 73
"f:\unity\Minesweeper\Assets\Scripts\Core\Effects\TargetedRevealEffectData.cs", "C#", 24, 0, 3, 27
"f:\unity\Minesweeper\Assets\Scripts\Core\Effects\TeleportEffect.cs", "C#", 73, 1, 9, 83
"f:\unity\Minesweeper\Assets\Scripts\Core\Effects\TeleportEffectData.cs", "C#", 15, 0, 1, 16
"f:\unity\Minesweeper\Assets\Scripts\Core\Effects\UnfreezeEffect.cs", "C#", 88, 5, 13, 106
"f:\unity\Minesweeper\Assets\Scripts\Core\Effects\UnfreezeEffectData.cs", "C#", 15, 0, 2, 17
"f:\unity\Minesweeper\Assets\Scripts\Core\Events\GameEvents.cs", "C#", 51, 0, 10, 61
"f:\unity\Minesweeper\Assets\Scripts\Core\Grid\Cell.cs", "C#", 25, 0, 5, 30
"f:\unity\Minesweeper\Assets\Scripts\Core\Grid\Grid.cs", "C#", 48, 0, 8, 56
"f:\unity\Minesweeper\Assets\Scripts\Core\Grid\GridPositionType.cs", "C#", 15, 0, 1, 16
"f:\unity\Minesweeper\Assets\Scripts\Core\Grid\ICell.cs", "C#", 8, 0, 0, 8
"f:\unity\Minesweeper\Assets\Scripts\Core\Input\IInteractable.cs", "C#", 10, 0, 1, 11
"f:\unity\Minesweeper\Assets\Scripts\Core\Input\InputManager.cs", "C#", 93, 0, 11, 104
"f:\unity\Minesweeper\Assets\Scripts\Core\Input\InteractionHandler.cs", "C#", 60, 0, 7, 67
"f:\unity\Minesweeper\Assets\Scripts\Core\Mines\Implementation\MineConfigurationProvider.cs", "C#", 50, 2, 10, 62
"f:\unity\Minesweeper\Assets\Scripts\Core\Mines\Implementation\MineEventHandler.cs", "C#", 65, 0, 9, 74
"f:\unity\Minesweeper\Assets\Scripts\Core\Mines\Implementation\MineVisualManager.cs", "C#", 115, 12, 19, 146
