Date : 2025-02-27 02:01:24
Directory : f:\unity\Minesweeper\Assets\Scripts
Total : 114 files,  8801 codes, 488 comments, 1450 blanks, all 10739 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |        114 |      8,801 |        488 |      1,450 |     10,739 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                  |        114 |      8,801 |        488 |      1,450 |     10,739 |
| Config                                                                                             |          1 |         40 |          0 |         10 |         50 |
| Core                                                                                               |         86 |      5,618 |        257 |        885 |      6,760 |
| Core (Files)                                                                                       |          2 |        111 |          5 |         16 |        132 |
| Core\Effects                                                                                       |         21 |      1,287 |         74 |        206 |      1,567 |
| Core\Events                                                                                        |          1 |         56 |          0 |         11 |         67 |
| Core\Grid                                                                                          |          4 |         96 |          0 |         14 |        110 |
| Core\Input                                                                                         |          3 |        227 |          0 |         23 |        250 |
| Core\Mines                                                                                         |         37 |      2,750 |        141 |        454 |      3,345 |
| Core\Mines\Implementation                                                                          |          3 |        229 |         14 |         38 |        281 |
| Core\Mines\Interfaces                                                                              |          6 |         71 |          8 |         10 |         89 |
| Core\Mines\Mines                                                                                   |         11 |      1,152 |         60 |        172 |      1,384 |
| Core\Mines\Spawning                                                                                |         17 |      1,298 |         59 |        234 |      1,591 |
| Core\Mines\Spawning (Files)                                                                        |          6 |        324 |         18 |         55 |        397 |
| Core\Mines\Spawning\Strategies                                                                     |          8 |        847 |         40 |        161 |      1,048 |
| Core\Mines\Spawning\Structures                                                                     |          3 |        127 |          1 |         18 |        146 |
| Core\Player                                                                                        |          3 |        143 |          4 |         34 |        181 |
| Core\States                                                                                        |          8 |        511 |         14 |         64 |        589 |
| Core\TurnSystem                                                                                    |          5 |        292 |         12 |         44 |        348 |
| Core\Utils                                                                                         |          2 |        145 |          7 |         19 |        171 |
| Debug                                                                                              |          1 |        221 |          7 |         24 |        252 |
| Editor                                                                                             |          1 |        215 |         28 |         47 |        290 |
| Interfaces                                                                                         |          3 |         42 |         12 |          3 |         57 |
| Managers                                                                                           |          5 |        469 |         17 |         88 |        574 |
| ScriptableObjects                                                                                  |          1 |         66 |          5 |         12 |         83 |
| Tests                                                                                              |          1 |         56 |          4 |          7 |         67 |
| UI                                                                                                 |          2 |        366 |         40 |         80 |        486 |
| UI (Files)                                                                                         |          1 |         84 |          7 |         21 |        112 |
| UI\Components                                                                                      |          1 |        282 |         33 |         59 |        374 |
| Views                                                                                              |         13 |      1,708 |        118 |        294 |      2,120 |
| Views (Files)                                                                                      |          9 |      1,205 |         82 |        199 |      1,486 |
| Views\DisplayStrategies                                                                            |          4 |        503 |         36 |         95 |        634 |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                           | language | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| f:\unity\Minesweeper\Assets\Scripts\Config\CellConfigManager.cs                                    | C#       |         40 |          0 |         10 |         50 |
| f:\unity\Minesweeper\Assets\Scripts\Core\CellState.cs                                              | C#       |         82 |          2 |         12 |         96 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Effects\BaseEffect.cs                                     | C#       |         84 |          3 |         12 |         99 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Effects\ConfusionEffect.cs                                | C#       |         68 |          3 |          9 |         80 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Effects\ConfusionEffectData.cs                            | C#       |         15 |          0 |          2 |         17 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Effects\EffectData.cs                                     | C#       |         60 |          0 |         10 |         70 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Effects\FreezeEffect.cs                                   | C#       |         87 |          3 |         10 |        100 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Effects\FreezeEffectData.cs                               | C#       |         15 |          0 |          2 |         17 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Effects\IEffect.cs                                        | C#       |         33 |          7 |          6 |         46 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Effects\MonsterTransformEffect.cs                         | C#       |        114 |         14 |         23 |        151 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Effects\MonsterTransformEffectData.cs                     | C#       |         43 |          0 |          7 |         50 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Effects\RangeRevealEffect.cs                              | C#       |         95 |          3 |         12 |        110 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Effects\RangeRevealEffectData.cs                          | C#       |         32 |          0 |          5 |         37 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Effects\SplitEffect.cs                                    | C#       |        111 |         18 |         25 |        154 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Effects\SplitEffectData.cs                                | C#       |         25 |          6 |          5 |         36 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Effects\SummonEffect.cs                                   | C#       |        156 |          6 |         29 |        191 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Effects\SummonEffectData.cs                               | C#       |         74 |          0 |         13 |         87 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Effects\TargetedRevealEffect.cs                           | C#       |         60 |          5 |          8 |         73 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Effects\TargetedRevealEffectData.cs                       | C#       |         24 |          0 |          3 |         27 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Effects\TeleportEffect.cs                                 | C#       |         73 |          1 |          9 |         83 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Effects\TeleportEffectData.cs                             | C#       |         15 |          0 |          1 |         16 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Effects\UnfreezeEffect.cs                                 | C#       |         88 |          5 |         13 |        106 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Effects\UnfreezeEffectData.cs                             | C#       |         15 |          0 |          2 |         17 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Events\GameEvents.cs                                      | C#       |         56 |          0 |         11 |         67 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Grid\Cell.cs                                              | C#       |         25 |          0 |          5 |         30 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Grid\Grid.cs                                              | C#       |         48 |          0 |          8 |         56 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Grid\GridPositionType.cs                                  | C#       |         15 |          0 |          1 |         16 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Grid\ICell.cs                                             | C#       |          8 |          0 |          0 |          8 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Input\IInteractable.cs                                    | C#       |         10 |          0 |          1 |         11 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Input\InputManager.cs                                     | C#       |        107 |          0 |         11 |        118 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Input\InteractionHandler.cs                               | C#       |        110 |          0 |         11 |        121 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Mines\Implementation\MineConfigurationProvider.cs         | C#       |         50 |          2 |         10 |         62 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Mines\Implementation\MineEventHandler.cs                  | C#       |         64 |          0 |          9 |         73 |
| f:\unity\Minesweeper\Assets\Scripts\Core\Mines\Implementation\MineVisualManager.cs                 | C#       |        115 |         12 |         19 |        146 |
